10	0.8534924810838491	(0.740888357089945, 0.0)	144.7966811656952
20	0.5692174468810902	(0.7393425400671649, 0.0)	145.79279041290283
30	0.458646029108997	(0.7392185979297329, 0.0)	161.07155871391296
40	0.38783784003236926	(0.7357790123097322, 0.0)	145.49742031097412
50	0.3555398610429472	(0.7357367199729714, 0.0)	147.43983936309814
60	0.3215370667397195	(0.7351660222474863, 0.0)	145.5218267440796
70	0.293932397058437	(0.7344290510307554, 0.0)	142.93313121795654
80	0.27394212227721404	(0.7326372824564549, 0.0)	137.0996012687683
90	0.25519666165503874	(0.7309721360069168, 0.0)	139.8307433128357
100	0.25036973279115937	(0.7300323054344824, 0.0)	143.9384844303131
10	0.9307930180417658	(0.9455450030022791, 0.0)	193.87526750564575
20	0.5815080083725966	(0.9448188060482853, 0.0)	187.55378913879395
30	0.453431959456622	(0.9454561144677514, 0.0)	194.75467371940613
40	0.373263226808733	(0.9448890607949392, 0.0)	169.46912145614624
50	0.32772694236881894	(0.9455204742209717, 0.0)	169.21085691452026
60	0.3046639649869712	(0.9455091170884442, 0.0)	157.8437306880951
10	1.0357015078486118	(0.9025208951340835, 0.0)	174.2272138595581
20	0.7332700155941124	(0.9024919331884809, 0.0)	156.50594449043274
30	0.6215470451941334	(0.9023923292464537, 0.0)	173.74083352088928
40	0.5522653112738006	(0.9052168508811441, 0.0)	172.13970470428467
50	0.4985073435408583	(0.9052643041889741, 0.0)	207.19734644889832
60	0.4497172365260022	(0.9052246843130101, 0.0)	165.0787467956543
70	0.41716880235454323	(0.9067719856487055, 0.0)	155.19403457641602
80	0.395297369586248	(0.9075788642129727, 0.0)	141.8703305721283
90	0.3696444425280186	(0.9082337381836721, 0.0)	154.7479555606842
100	0.358656321417078	(0.9086944552618901, 0.0)	157.91032791137695
